,GLD,BAR,UGL,DBP
2021-02-17,166.32,17.635,58.54,50.055
2021-02-18,166.32,17.63,58.485,49.94
2021-02-19,167.0,17.7,58.98,50.2213
2021-02-22,169.47,17.98,60.75,51.17
2021-02-23,169.12,17.93,60.5299,50.78
2021-02-24,168.98,17.925,60.365,50.8767
2021-02-25,165.82,17.58,58.14,50.0531
2021-02-26,161.8,17.16,55.31,48.81
2021-03-01,161.55,17.13,55.03,48.62
2021-03-02,162.4,17.22,55.67,48.99
2021-03-03,160.63,17.035,54.47,48.23
2021-03-04,159.04,16.86,53.29,47.44
2021-03-05,159.12,16.875,53.39,47.6
2021-03-08,157.49,16.7,52.24,47.155
2021-03-09,160.83,17.05,54.4999,48.3105
2021-03-10,161.66,17.14,55.09,48.465
2021-03-11,161.51,17.115,54.95,48.34
2021-03-12,161.48,17.12,55.0399,48.31
2021-03-15,162.2,17.2099,55.4599,48.635
2021-03-16,162.36,17.215,55.51,48.46
2021-03-17,163.53,17.335,56.33,49.13
2021-03-18,162.57,17.24,55.6,48.6485
2021-03-19,163.27,17.315,56.18,48.887
2021-03-22,163.01,17.29,55.98,48.5518
2021-03-23,161.82,17.165,55.17,48.12
2021-03-24,162.36,17.22,55.6,48.1957
2021-03-25,161.81,17.15,55.1,48.1584
2021-03-26,162.27,17.2099,55.46,48.04
2021-03-29,160.32,17.0,54.09,47.5487
2021-03-30,157.57,16.71,52.24,46.59
2021-03-31,160.01,16.96,53.89,47.4
2021-04-01,161.98,17.175,55.24,48.09
2021-04-05,161.9,17.17,55.14,47.945
2021-04-06,163.23,17.315,56.07,48.4297
2021-04-07,162.77,17.26,55.7101,48.34
2021-04-08,164.52,17.45,56.91,48.83
2021-04-09,163.28,17.31,56.06,48.4114
2021-04-12,162.3,17.21,55.31,48.0
2021-04-13,163.44,17.34,56.16,48.61
2021-04-14,162.72,17.26,55.66,48.37
2021-04-15,165.33,17.54,57.44,49.19
2021-04-16,166.37,17.64,58.16,49.51
2021-04-19,165.9,17.595,57.7984,49.235
2021-04-20,166.49,17.66,58.23,49.48
2021-04-21,168.13,17.825,59.3701,50.095
2021-04-22,167.05,17.72,58.63,49.67
2021-04-23,166.39,17.65,58.11,49.39
2021-04-26,166.84,17.7,58.4201,49.58
2021-04-27,166.42,17.645,58.13,49.59
2021-04-28,166.93,17.7,58.45,49.56
2021-04-29,166.26,17.625,57.96,49.42
2021-04-30,165.67,17.565,57.56,49.16
2021-05-03,167.84,17.797,59.1,50.18
2021-05-04,166.56,17.665,58.17,49.74
2021-05-05,167.31,17.75,58.74,49.9
2021-05-06,170.06,18.04,60.63,50.89
2021-05-07,171.6,18.2,61.84,51.35
2021-05-10,172.14,18.255,62.19,51.27
2021-05-11,172.15,18.255,62.14,51.48
2021-05-12,170.43,18.08,60.92,50.8955
2021-05-13,171.14,18.16,61.4038,51.05
2021-05-14,172.68,18.32,62.48,51.5
2021-05-17,174.72,18.54,64.05,52.28
2021-05-18,175.01,18.579,64.26,52.4499
2021-05-19,175.16,18.58,64.3194,52.259
2021-05-20,175.96,18.66,64.86,52.2952
2021-05-21,176.04,18.68,65.0019,52.31
2021-05-24,176.38,18.705,65.21,52.55
2021-05-25,177.93,18.8796,66.42,52.98
2021-05-26,177.63,18.84,66.1299,52.74
2021-05-27,177.78,18.84,66.22,52.9299
2021-05-28,178.31,18.915,66.6426,52.7776
2021-06-01,177.93,18.875,66.33,52.95
2021-06-02,178.75,18.96,66.985,53.245
2021-06-03,175.25,18.59,64.3,52.0989
2021-06-04,177.17,18.79,65.73,52.74
2021-06-07,177.88,18.87,66.3374,52.85
2021-06-08,177.3,18.805,65.82,52.7
2021-06-09,176.97,18.765,65.57,52.66
2021-06-10,177.73,18.855,66.26,52.75
2021-06-11,175.7,18.635,64.61,52.39
2021-06-14,174.73,18.54,63.84,52.04
2021-06-15,174.09,18.46,63.37,51.94
2021-06-16,171.09,18.14,61.1918,50.97
2021-06-17,165.87,17.605,57.4774,49.21
2021-06-18,164.9,17.51,56.71,49.11
2021-06-21,166.93,17.715,58.0671,49.46
2021-06-22,166.26,17.64,57.64,49.44
2021-06-23,166.17,17.63,57.56,49.43
2021-06-24,166.02,17.61,57.48,49.3799
2021-06-25,166.58,17.675,57.805,49.415
2021-06-28,166.58,17.67,57.81,49.54
2021-06-29,164.82,17.495,56.6,48.9417
2021-06-30,165.65,17.575,57.22,49.21
2021-07-01,166.21,17.635,57.6,49.41
2021-07-02,167.32,17.76,58.32,49.86
2021-07-06,168.12,17.85,58.95,49.76
2021-07-07,168.78,17.905,59.38,49.95
2021-07-08,168.67,17.9,59.3,49.7799
2021-07-09,169.2,17.96,59.67,50.1
